Force (N),Position (mm),Time (min),Engineering Stress,Engineering Strain,True Strain,True Stress,,,
17544.7,5.5698,1.24,55.8465146,0.37132,0.31577378,76.5834424,,,
17564.7,5.57744,1.24,55.91017658,0.371829333,0.316145129,76.69922026,,,
17586.1,5.58535,1.24,55.97829489,0.372356667,0.316529457,76.82218619,,,
17606.1,5.59285,1.24,56.04195687,0.372856667,0.316893727,76.9375741,,,
17628.2,5.59986,1.24,56.11230336,0.373324,0.317234079,77.06037289,,,
17648.8,5.60802,1.24,56.17787519,0.373868,0.317630119,77.18098504,,,
17669.6,5.61585,1.25,56.24408365,0.37439,0.318009996,77.30130613,,,
17692.5,5.62273,1.25,56.31697661,0.374848667,0.318343664,77.42732021,,,
17712.4,5.63066,1.25,56.38032028,0.375377333,0.318728118,77.54421456,,,
17733.6,5.63895,1.25,56.44780198,0.37593,0.319129866,77.66822417,,,
17755.6,5.6459,1.25,56.51783015,0.376393333,0.319466551,77.79076463,,,
17776.9,5.65354,1.25,56.58563016,0.376902667,0.319836532,77.91290506,,,
17797.7,5.66126,1.26,56.65183861,0.377417333,0.320210248,78.03322447,,,
17819.8,5.66911,1.26,56.7221851,0.377940667,0.320590114,78.15980555,,,
17841,5.67605,1.26,56.78966679,0.378403333,0.320925824,78.27906601,,,
17861.4,5.68417,1.26,56.85460201,0.378944667,0.321318472,78.39935022,,,
17882.8,5.69163,1.26,56.92272033,0.379442,0.32167907,78.52159117,,,
17905.1,5.69927,1.26,56.99370343,0.379951333,0.322048233,78.64853704,,,
17927.1,5.70673,1.27,57.06373161,0.380448667,0.322408567,78.77355221,,,
17948.4,5.71461,1.27,57.13153161,0.380974,0.322789047,78.89715974,,,
17970.2,5.72194,1.27,57.20092317,0.381462667,0.323142841,79.02093985,,,
17991.3,5.72988,1.27,57.26808655,0.381992,0.323525937,79.14403747,,,
18012.6,5.73745,1.27,57.33588656,0.382496667,0.323891043,79.26667205,,,
18035.8,5.74492,1.27,57.40973445,0.382994667,0.324251196,79.39735656,,,
18056.2,5.75274,1.28,57.47466967,0.383516,0.324628085,79.51712508,,,
18078.9,5.75967,1.28,57.54692601,0.383978,0.324961961,79.64367957,,,
